word,total_score,appeared_times,averange_score
负数,16,6,2.6667
平平淡淡,16,6,2.6667
酷似,18,6,3
力不从心,17,6,2.8333
嘴巴,17,6,2.8333
局限于,18,6,3
皱纹,18,6,3
卖相,20,6,3.3333
善恶,19,6,3.1667
一见钟情,18,6,3
前嫌,24,6,4
感好,18,6,3
并存,20,6,3.3333
电击,17,6,2.8333
浅野,15,6,2.5
文戲,17,6,2.8333
獅子,22,6,3.6667
流口水,22,6,3.6667
专心,19,6,3.1667
为止,22,6,3.6667
拍烂,20,6,3.3333
历险记,20,6,3.3333
神殿,18,6,3
潜质,19,6,3.1667
射箭,25,6,4.1667
哲理,20,6,3.3333
体制,21,6,3.5
三段式,17,6,2.8333
凡间,16,6,2.6667
玩吧,17,6,2.8333
蒸汽,18,6,3
腱子,20,6,3.3333
勇士,21,6,3.5
索性,24,6,4
不听话,23,6,3.8333
直线,17,6,2.8333
说来说去,18,6,3
暴风,20,6,3.3333
看样子,19,6,3.1667
灭绝,18,6,3
拳头,15,6,2.5
普遍,23,6,3.8333
头重脚轻,19,6,3.1667
发誓,15,6,2.5
传递,18,6,3
女博士,19,6,3.1667
傻瓜,20,6,3.3333
主宰,18,6,3
绿幕,17,6,2.8333
激战,22,6,3.6667
俏皮,24,6,4
电动,20,6,3.3333
草草了事,18,6,3
不够看,21,6,3.5
把持,26,6,4.3333
精神病人,24,6,4
运气,20,6,3.3333
起点,18,6,3
阻挡,21,6,3.5
取舍,22,6,3.6667
小分队,19,6,3.1667
母亲,17,6,2.8333
中场,16,6,2.6667
重逢,19,6,3.1667
钟头,16,6,2.6667
负担,23,6,3.8333
上心,20,6,3.3333
粗制滥造,13,6,2.1667
盒饭,16,6,2.6667
准确,19,6,3.1667
妨碍,24,6,4
蠢蠢,20,6,3.3333
悬浮,21,6,3.5
拼图,17,6,2.8333
威片,16,6,2.6667
逝去,19,6,3.1667
普罗米修斯,25,6,4.1667
头一回,20,6,3.3333
男主女,19,6,3.1667
余地,19,6,3.1667
占据,18,6,3
女权,22,6,3.6667
奇奇怪怪,20,6,3.3333
天尊,22,6,3.6667
脑海中,18,6,3
挑不出,26,6,4.3333
拼接,16,6,2.6667
红白机,23,6,3.8333
原生,21,6,3.5
贩卖,15,6,2.5
想二刷,29,6,4.8333
肥皂,17,6,2.8333
慢动作,18,6,3
小组,18,6,3
侠盗,24,6,4
甜腻,18,6,3
及格线,17,6,2.8333
風格,20,6,3.3333
弱智儿童,23,6,3.8333
点心,14,6,2.3333
子集,19,6,3.1667
双标,16,6,2.6667
甩出,16,6,2.6667
看吐,18,6,3
妆容,20,6,3.3333
土著,16,6,2.6667
搬家,20,6,3.3333
严谨,18,6,3
没救,20,6,3.3333
做梦,15,6,2.5
该死,17,6,2.8333
一针,20,6,3.3333
称呼,20,6,3.3333
不知不觉,23,6,3.8333
睫毛膏,21,6,3.5
小队长,21,6,3.5
滑板,24,6,4
标志性,19,6,3.1667
奶队,21,6,3.5
练级,22,6,3.6667
红脸,19,6,3.1667
景观,19,6,3.1667
同胞,20,6,3.3333
整合,20,6,3.3333
扑面而来,21,6,3.5
鲜艳,18,6,3
凑齐,19,6,3.1667
经费,13,6,2.1667
太过分,19,6,3.1667
指数,18,6,3
猜得到,15,6,2.5
没尿,20,6,3.3333
笨拙,28,6,4.6667
间谍,18,6,3
坠入,20,6,3.3333
竹马,22,6,3.6667
不为人知,19,6,3.1667
无缘,17,6,2.8333
博弈,20,6,3.3333
压制,22,6,3.6667
害羞,18,6,3
好好学习,21,6,3.5
合在一起,16,6,2.6667
略长,20,6,3.3333
伟光,18,6,3
解说,18,6,3
歇歇,18,6,3
底子,16,6,2.6667
错位,17,6,2.8333
联欢,17,6,2.8333
没露,18,6,3
对视,17,6,2.8333
种族歧视,21,6,3.5
做足,18,6,3
武指,17,6,2.8333
有效,22,6,3.6667
起劲,16,6,2.6667
忍住,18,6,3
不卖,20,6,3.3333
放映厅,23,6,3.8333
咖啡,20,6,3.3333
遇上,18,6,3
硬核,18,6,3
煞笔,10,6,1.6667
同性恋,20,6,3.3333
跌宕起伏,19,6,3.1667
花式,17,6,2.8333
隧道,22,6,3.6667
仇人,22,6,3.6667
小船,26,6,4.3333
萌笑,24,6,4
决裂,23,6,3.8333
挚爱,20,6,3.3333
能手,22,6,3.6667
参战,19,6,3.1667
监管,19,6,3.1667
大写,19,6,3.1667
爹妈,22,6,3.6667
女婿,20,6,3.3333
放映员,19,6,3.1667
冠军,21,6,3.5
校长,25,6,4.1667
梅婶,21,6,3.5
气死我了,13,6,2.1667
催人泪下,24,6,4
区分,14,6,2.3333
救援,19,6,3.1667
交出,16,6,2.6667
残忍,17,6,2.8333
宫斗剧,18,6,3
老牌,18,6,3
说到底,12,6,2
火候,19,6,3.1667
总得来说,19,6,3.1667
人脑,20,6,3.3333
聚在一起,23,6,3.8333
磨合,17,6,2.8333
萌系,19,6,3.1667
流程,16,6,2.6667
大厦,18,6,3
刷到,9,6,1.5
自说自话,20,6,3.3333
劇本,15,6,2.5
虚构,22,6,3.6667
看来看去,10,6,1.6667
哭成,28,6,4.6667
夜场,23,6,3.8333
说理,18,6,3
等不及,19,6,3.1667
滤镜,16,6,2.6667
逾越,19,6,3.1667
低音炮,22,6,3.6667
走马灯,14,6,2.3333
网游,21,6,3.5
即止,22,6,3.6667
蜻蜓点水,19,6,3.1667
事物,22,6,3.6667
串串,22,6,3.6667
唠嗑,20,6,3.3333
重口,22,6,3.6667
打手,15,6,2.5
打大,22,6,3.6667
无产阶级,25,6,4.1667
计生,22,6,3.6667
脚踏实地,26,6,4.3333
日出,24,6,4
大旗,20,6,3.3333
评为,19,6,3.1667
直观,20,6,3.3333
校车,25,6,4.1667
情理之中,26,6,4.3333
闹着玩,17,6,2.8333
招牌,17,6,2.8333
胡说八道,19,6,3.1667
活过来,13,6,2.1667
懵逼,20,6,3.3333
在场,22,6,3.6667
整体而言,18,6,3
描绘,20,6,3.3333
虫子,14,6,2.3333
共同体,19,6,3.1667
种族主义,15,6,2.5
成神,24,6,4
谈判,19,6,3.1667
细思,21,6,3.5
成精,19,6,3.1667
障碍,14,6,2.3333
没道理,13,6,2.1667
版图,20,6,3.3333
感天动地,21,6,3.5
觀賞,22,6,3.6667
清洁,28,6,4.6667
插曲,17,6,2.8333
美中不足,22,6,3.6667
曲子,19,6,3.1667
自受,25,6,4.1667
自攻,25,6,4.1667
最贱,22,6,3.6667
下功夫,16,6,2.6667
亘古,26,6,4.3333
独舞,28,6,4.6667
微软,22,6,3.6667
七彩,24,6,4
逃不过,22,6,3.6667
献上,29,6,4.8333
浩瀚,21,6,3.5
扎心,23,6,3.8333
非裔,24,6,4
穷尽,18,6,3
纸牌,22,6,3.6667
水熊虫,24,6,4
偷东西,15,6,2.5
缩放,20,6,3.3333
烂仔,17,6,2.8333
照应,20,6,3.3333
新手,18,6,3
赌场,25,6,4.1667
爱情喜剧,19,6,3.1667
支配,20,6,3.3333
徒弟,21,6,3.5
耍无赖,20,6,3.3333
金轮法王,19,6,3.1667
神秘主义,19,6,3.1667
英国人,20,6,3.3333
自拍,23,6,3.8333
社区,24,6,4
轮船,23,6,3.8333
世袭,17,6,2.8333
共享,23,6,3.8333
刀女,20,6,3.3333
仪式,21,6,3.5
政权,15,6,2.5
外媒,21,6,3.5
虐杀,20,6,3.3333
纸老虎,15,5,3
炮弹,14,5,2.8
画面感,18,5,3.6
深深地,14,5,2.8
比例,15,5,3
带动,20,5,4
快节奏,17,5,3.4
测试,16,5,3.2
连带,15,5,3
蛮帅,17,5,3.4
女秘书,17,5,3.4
告终,12,5,2.4
干涉,14,5,2.8
深刻印象,14,5,2.8
舒畅,23,5,4.6
归功于,19,5,3.8
成长史,17,5,3.4
罕见,16,5,3.2
执行,19,5,3.8
秘书,14,5,2.8
冲击力,21,5,4.2
取向,16,5,3.2
混混,14,5,2.8
感脚,18,5,3.6
人种,18,5,3.6
好生,15,5,3
工作室,19,5,3.8
眼睫毛,20,5,4
模特,18,5,3.6
降落,18,5,3.6
工科,16,5,3.2
能源,16,5,3.2
勇者,19,5,3.8
以人为本,19,5,3.8
大坏蛋,16,5,3.2
父辈,19,5,3.8
娘娘,13,5,2.6
超多,23,5,4.6
塘泥,19,5,3.8
大手笔,19,5,3.8
深意,13,5,2.6
真爽,20,5,4
独眼龙,15,5,3
磨难,17,5,3.4
刀枪不入,13,5,2.6
记不清,17,5,3.4
工程,19,5,3.8
英雄传,18,5,3.6
不屑,16,5,3.2
成不了,17,5,3.4
不弱,14,5,2.8
连结,17,5,3.4
标杆,15,5,3
好用,15,5,3
忍辱负重,17,5,3.4
劫持,15,5,3
扯蛋,13,5,2.6
联看,14,5,2.8
好怀念,14,5,2.8
沙漠,18,5,3.6
得以,15,5,3
魅力十足,20,5,4
翻新,14,5,2.8
自重,19,5,3.8
造出来,15,5,3
少爷,15,5,3
兜兜,18,5,3.6
架不住,18,5,3.6
萌倒,17,5,3.4
絮叨,13,5,2.6
焦点,14,5,2.8
科技含量,14,5,2.8
探寻,16,5,3.2
原型机,17,5,3.4
取出,16,5,3.2
预料,14,5,2.8
醒醒,14,5,2.8
军火商,17,5,3.4
心理医生,16,5,3.2
说得过去,14,5,2.8
惊险,19,5,3.8
伴侣,14,5,2.8
黄暴,19,5,3.8
代言人,18,5,3.6
国旗,17,5,3.4
敬业,19,5,3.8
旅程,17,5,3.4
赶着,16,5,3.2
顺理成章,15,5,3
来源于,14,5,2.8
实打实,18,5,3.6
原理,14,5,2.8
淋漓,18,5,3.6
硬盘,11,5,2.2
样板戏,8,5,1.6
分量,17,5,3.4
捧腹,20,5,4
破烂,9,5,1.8
折服,18,5,3.6
腻味,16,5,3.2
管家,15,5,3
相貌,17,5,3.4
源泉,18,5,3.6
反杀,10,5,2
根正苗红,19,5,3.8
相对来说,18,5,3.6
一帮人,13,5,2.6
当回事,11,5,2.2
走到,14,5,2.8
用不着,15,5,3
纯纯,17,5,3.4
高尚,18,5,3.6
熟练,18,5,3.6
萌點,18,5,3.6
风流,19,5,3.8
军火贩子,11,5,2.2
不对,14,5,2.8
大帅,15,5,3
贴身,14,5,2.8
有点烦,15,5,3
值得称赞,12,5,2.4
释放,13,5,2.6
虚伪,12,5,2.4
脸谱,11,5,2.2
彪悍,14,5,2.8
室友,16,5,3.2
看书,18,5,3.6
风范,17,5,3.4
流氓,17,5,3.4
限制级,13,5,2.6
设备,15,5,3
活动,16,5,3.2
下班,13,5,2.6
情不自禁,17,5,3.4
不足以,14,5,2.8
关掉,10,5,2
联美,16,5,3.2
低能,12,5,2.4
男癌,12,5,2.4
完善,16,5,3.2
不懂,19,5,3.8
無法,19,5,3.8
外行,16,5,3.2
各种各样,15,5,3
新元素,18,5,3.6
常识,14,5,2.8
適合,20,5,4
摔跤,13,5,2.6
单词,17,5,3.4
反角,15,5,3
轨迹,16,5,3.2
討喜,15,5,3
连看,14,5,2.8
太坏,19,5,3.8
走下坡路,13,5,2.6
腔调,13,5,2.6
全屏,19,5,3.8
虚拟,16,5,3.2
迅速,18,5,3.6
锁链,16,5,3.2
早场,16,5,3.2
散漫,10,5,2
无人机,16,5,3.2
手势,16,5,3.2
相反,15,5,3
阐述,15,5,3
激情戏,15,5,3
被动,15,5,3
死神,14,5,2.8
此起彼伏,20,5,4
强劲,16,5,3.2
进程,14,5,2.8
剧照,14,5,2.8
开战,15,5,3
减去,17,5,3.4
跳梁小丑,12,5,2.4
肢体,12,5,2.4
合约,17,5,3.4
火辣,19,5,3.8
解气,13,5,2.6
神韵,16,5,3.2
相差,14,5,2.8
弱势,16,5,3.2
纹身,15,5,3
曲线,14,5,2.8
胡乱,12,5,2.4
定时炸弹,13,5,2.6
打的好,14,5,2.8
缩水,13,5,2.6
畸形,10,5,2
耽误,17,5,3.4
随心所欲,17,5,3.4
破灭,15,5,3
归为,14,5,2.8
匆忙,14,5,2.8
驯龙,16,5,3.2
电子游戏,17,5,3.4
逃不出,15,5,3
智力,14,5,2.8
三角恋,15,5,3
迷死人,18,5,3.6
称为,15,5,3
强烈建议,13,5,2.6
评星,16,5,3.2
肿么,15,5,3
安慰,13,5,2.6
新天地,12,5,2.4
不够格,10,5,2
垮掉,13,5,2.6
干练,12,5,2.4
换上,13,5,2.6
病人,18,5,3.6
月亮,17,5,3.4
别具一格,19,5,3.8
走开,19,5,3.8
心理准备,18,5,3.6
被称作,21,5,4.2
血本,20,5,4
减掉,14,5,2.8
公路,18,5,3.6
天花乱坠,14,5,2.8
烽火,17,5,3.4
狗日,14,5,2.8
警长,15,5,3
时间轴,15,5,3
大厅,17,5,3.4
繼續,17,5,3.4
讲解,16,5,3.2
绝对值,22,5,4.4
豪宅,19,5,3.8
谄媚,14,5,2.8
战术,15,5,3
攻受,21,5,4.2
炸成,17,5,3.4
一条线,22,5,4.4
插科,20,5,4
星人,15,5,3
下得,22,5,4.4
惨案,21,5,4.2
珍惜,18,5,3.6
医术,22,5,4.4
医治,16,5,3.2
场子,14,5,2.8
惯例,19,5,3.8
尽显,18,5,3.6
脸蛋,13,5,2.6
老本,10,5,2
出奇,20,5,4
喝出,16,5,3.2
取悦,11,5,2.2
自行车,19,5,3.8
依舊,17,5,3.4
很惨,16,5,3.2
睡不着,16,5,3.2
承诺,14,5,2.8
默念,18,5,3.6
赞笑,20,5,4
放烟火,21,5,4.2
引来,14,5,2.8
感有,24,5,4.8
有如,17,5,3.4
国产电影,11,5,2.2
现代化,16,5,3.2
果不其然,18,5,3.6
抓到,18,5,3.6
手腕,18,5,3.6
支援,17,5,3.4
悲怆,17,5,3.4
方方面面,15,5,3
零散,14,5,2.8
差點,15,5,3
宿敌,19,5,3.8
弄成,13,5,2.6
旋律,20,5,4
单身,19,5,3.8
气愤,14,5,2.8
盲症,18,5,3.6
覆盖,15,5,3
声效,20,5,4
没点,15,5,3
预计,16,5,3.2
械斗,14,5,2.8
鏡頭,19,5,3.8
狂妄,17,5,3.4
整容,16,5,3.2
完有,18,5,3.6
不看,19,5,3.8
惊心动魄,18,5,3.6
钱包,18,5,3.6
暴雨,16,5,3.2
救星,16,5,3.2
外界,17,5,3.4
演大,18,5,3.6
绝赞,17,5,3.4
样儿,18,5,3.6
中华,15,5,3
满座,18,5,3.6
彻头彻尾,13,5,2.6
构想,11,5,2.2
掐掉,20,5,4
琐碎,12,5,2.4
撒娇,13,5,2.6
患上,15,5,3
倒胃口,11,5,2.2
礼物,14,5,2.8
不羁,17,5,3.4
恐怖主义,11,5,2.2
参见,19,5,3.8
领悟,15,5,3
美音,18,5,3.6
跳脱,15,5,3
不可避免,16,5,3.2
个人风格,14,5,2.8
赞同,13,5,2.6
制片方,12,5,2.4
火影,16,5,3.2
打入,13,5,2.6
戒指,16,5,3.2
上场,19,5,3.8
不谢,15,5,3
理科生,16,5,3.2
老家,14,5,2.8
看会,17,5,3.4
突如其来,14,5,2.8
文本,14,5,2.8
苦苦,12,5,2.4
深感,12,5,2.4
掉落,15,5,3
倒戈,14,5,2.8
附加,17,5,3.4
骗骗,12,5,2.4
流利,14,5,2.8
起哄,15,5,3
脏话,15,5,3
争取,19,5,3.8
老老实实,15,5,3
动态,17,5,3.4
可比,16,5,3.2
动画电影,15,5,3
酣畅,17,5,3.4
欢喜,17,5,3.4
沒了,10,5,2
影响力,17,5,3.4
搞不清楚,14,5,2.8
残疾,19,5,3.8
调教,21,5,4.2
看不清楚,15,5,3
傲娇,20,5,4
人能,15,5,3
人演,14,5,2.8
零星,14,5,2.8
不连贯,14,5,2.8
军事,11,5,2.2
品牌,15,5,3
光线,11,5,2.2
记不得,11,5,2.2
千辛万苦,14,5,2.8
挠痒,14,5,2.8
专属,16,5,3.2
打呼噜,10,5,2
造反,9,5,1.8
退票,11,5,2.2
不值一提,13,5,2.6
没完,12,5,2.4
旨在,16,5,3.2
协调,13,5,2.6
过硬,14,5,2.8
值得一提的是,13,5,2.6
脱俗,15,5,3
撂倒,13,5,2.6
无用,12,5,2.4
乐意,14,5,2.8
很烦,10,5,2
脑海,16,5,3.2
无需,12,5,2.4
下半场,14,5,2.8
风味,16,5,3.2
集体主义,16,5,3.2
真受不了,15,5,3
不可理喻,11,5,2.2
道歉,13,5,2.6
奶奶,12,5,2.4
团购,15,5,3
无谓,12,5,2.4
技术含量,14,5,2.8
儒雅,16,5,3.2
迷住,18,5,3.6
笑场,18,5,3.6
业界,18,5,3.6
不来,15,5,3
灭火,18,5,3.6
之谜,17,5,3.4
疼爱,18,5,3.6
特种兵,14,5,2.8
怒吼,15,5,3
贫民区,16,5,3.2
火锅,16,5,3.2
最惨,20,5,4
极高,19,5,3.8
范本,19,5,3.8
需求,16,5,3.2
整整齐齐,20,5,4
来龙去脉,14,5,2.8
世界末日,19,5,3.8
搏击,14,5,2.8
瘦小,16,5,3.2
认认真真,17,5,3.4
重拍,13,5,2.6
上限,16,5,3.2
喷张,19,5,3.8
乞丐,15,5,3
军人,14,5,2.8
跳来跳去,14,5,2.8
序幕,19,5,3.8
胸部,14,5,2.8
骨头,17,5,3.4
抽抽,22,5,4.4
审美观,16,5,3.2
惊呼,18,5,3.6
續集,18,5,3.6
是非,17,5,3.4
纯爱,19,5,3.8
精神分裂,19,5,3.8
环节,15,5,3
惊到,17,5,3.4
刷完,19,5,3.8
最猛,20,5,4
再演,14,5,2.8
类型化,15,5,3
催泪弹,23,5,4.6
反衬,15,5,3
身躯,17,5,3.4
贫瘠,12,5,2.4
可大可小,16,5,3.2
抱团,13,5,2.6
拉回,17,5,3.4
浓烈,18,5,3.6
男星,17,5,3.4
应当,17,5,3.4
合并,13,5,2.6
缘分,16,5,3.2
大材小用,14,5,2.8
正宗,17,5,3.4
有空,18,5,3.6
睿智,16,5,3.2
第一版,16,5,3.2
交替,15,5,3
开来,16,5,3.2
没头没尾,13,5,2.6
前因后果,14,5,2.8
嘈点,12,5,2.4
灵气,13,5,2.6
协会,14,5,2.8
整出,12,5,2.4
重影,12,5,2.4
建党,18,5,3.6
伟业,18,5,3.6
追随,17,5,3.4
补上,18,5,3.6
逊于,17,5,3.4
视线,14,5,2.8
矜持,14,5,2.8
呆板,12,5,2.4
追捕,14,5,2.8
小鸡,9,5,1.8
添加,16,5,3.2
用脑,13,5,2.6
强过,16,5,3.2
开枪,19,5,3.8
可想而知,14,5,2.8
看透,14,5,2.8
相逢,18,5,3.6
纯洁,14,5,2.8
自我意识,13,5,2.6
抗争,17,5,3.4
重心,18,5,3.6
偏锋,17,5,3.4
绿寡,16,5,3.2
剧场,15,5,3
金毛,17,5,3.4
惊鸿一瞥,17,5,3.4
完全符合,21,5,4.2
转制,18,5,3.6
戏谑,16,5,3.2
宇宙空间,17,5,3.4
玩完,15,5,3
骗子,15,5,3
渴望,14,5,2.8
看大,15,5,3
人神,16,5,3.2
真挺,15,5,3
没指望,14,5,2.8
只求,18,5,3.6
毫不犹豫,24,5,4.8
扑上去,16,5,3.2
乐观,19,5,3.8
听见,17,5,3.4
阴险,16,5,3.2
反映,17,5,3.4
冰冻,20,5,4
小黑,18,5,3.6
鱼线,16,5,3.2
恋父,16,5,3.2
心不在焉,11,5,2.2
热泪,18,5,3.6
再现,15,5,3
点到为止,17,5,3.4
一目了然,16,5,3.2
短时间,15,5,3
前途无量,19,5,3.8
男纸,16,5,3.2
黑咕隆咚,13,5,2.6
鸡肉,15,5,3
大炮,12,5,2.4
独占,16,5,3.2
不要命,18,5,3.6
疙瘩,17,5,3.4
基点,17,5,3.4
情话,16,5,3.2
生产,16,5,3.2
奶粉,11,5,2.2
不肯,16,5,3.2
电影城,14,5,2.8
眼罩,17,5,3.4
适得其反,15,5,3
违背,14,5,2.8
露肉,14,5,2.8
金牛座,13,5,2.6
尽全力,18,5,3.6
很蠢,11,5,2.2
算了吧,12,5,2.4
雷电,17,5,3.4
恋人,19,5,3.8
份儿,14,5,2.8
光彩,17,5,3.4
童话故事,14,5,2.8
译制,15,5,3
幌子,13,5,2.6
大伙,19,5,3.8
生离死别,16,5,3.2
基腐,15,5,3
儿女情长,18,5,3.6
闪耀,18,5,3.6
异星,15,5,3
实际行动,19,5,3.8
闪光点,15,5,3
基弟,17,5,3.4
假死,17,5,3.4
输给,19,5,3.8
后妈,20,5,4
隐形,20,5,4
中土,19,5,3.8
脱胎换骨,18,5,3.6
滚蛋,10,5,2
施展,17,5,3.4
拔高,16,5,3.2
突突突,14,5,2.8
打扫卫生,22,5,4.4
分成,15,5,3
转粉,20,5,4
闭嘴,22,5,4.4
乱搞,14,5,2.8
惊为天人,18,5,3.6
傻乎乎,18,5,3.6
匠气,14,5,2.8
汇聚,14,5,2.8
预言,13,5,2.6
华而不实,10,5,2
走完,18,5,3.6
拓展,15,5,3
美腻,17,5,3.4
落下,20,5,4
现代人,15,5,3
翻滚,14,5,2.8
地用,13,5,2.6
不负众望,23,5,4.6
祭奠,23,5,4.6
坚信,17,5,3.4
演成,12,5,2.4
萌上,21,5,4.2
凑活,14,5,2.8
出去,11,5,2.2
金手指,16,5,3.2
一晃,17,5,3.4
大叫,12,5,2.4
敌方,15,5,3
魔方,13,5,2.6
错失,17,5,3.4
发际,13,5,2.6
出卖,9,5,1.8
偶像剧,14,5,2.8
上班,14,5,2.8
盗墓,20,5,4
解释一下,9,5,1.8
意味着,13,5,2.6
声光,18,5,3.6
阻碍,15,5,3
进口,9,5,1.8
分道扬镳,19,5,3.8
同性,20,5,4
回应,20,5,4
漫画式,17,5,3.4
停止,16,5,3.2
高唱,17,5,3.4
焕然一新,20,5,4
萌出,20,5,4
并列,24,5,4.8
奏效,19,5,3.8
很燃,20,5,4
不负,19,5,3.8
卫队,15,5,3
歌剧,20,5,4
簡單,17,5,3.4
缺憾,20,5,4
卖卖,13,5,2.6
构图,15,5,3
意图,15,5,3
傻白甜的,15,5,3
戲份,14,5,2.8
社交,12,5,2.4
法子,16,5,3.2
辛辛苦苦,15,5,3
再配,13,5,2.6
隔阂,14,5,2.8
动摇,17,5,3.4
祸害,14,5,2.8
捞钱,12,5,2.4
吃不消,11,5,2.2
清一色,16,5,3.2
婚礼,19,5,3.8
争夺战,16,5,3.2
食材,16,5,3.2
本命,20,5,4
众人,17,5,3.4
扩展,15,5,3
吸金,14,5,2.8
吵闹,10,5,2
承受,15,5,3
写出,17,5,3.4
家长,20,5,4
反观,20,5,4
东拼西凑,8,5,1.6
分版,6,5,1.2
假惺惺,14,5,2.8
无法忍受,12,5,2.4
君王,12,5,2.4
设想,19,5,3.8
词穷,14,5,2.8
吊炸天,14,5,2.8
明目张胆,13,5,2.6
量级,13,5,2.6
月份,19,5,3.8
战争片,15,5,3
喝彩,20,5,4
欠奉,16,5,3.2
亲切感,17,5,3.4
浪漫主义,22,5,4.4
民众,16,5,3.2
老汤,15,5,3
沉睡,16,5,3.2
教育片,15,5,3
服饰,15,5,3
战机,15,5,3
著名,18,5,3.6
毁容,18,5,3.6
忧国忧民,16,5,3.2
大队长,15,5,3
精神力量,17,5,3.4
人体,11,5,2.2
战争场面,16,5,3.2
失策,21,5,4.2
刻薄,17,5,3.4
眼眶,23,5,4.6
怪人,12,5,2.4
睡醒,11,5,2.2
体质,17,5,3.4
匹配,10,5,2
平均,14,5,2.8
文化差异,18,5,3.6
体无完肤,15,5,3
爽感,15,5,3
大惊小怪,14,5,2.8
言论,14,5,2.8
平衡感,19,5,3.8
无法自拔,22,5,4.4
呆滞,16,5,3.2
告白,18,5,3.6
切掉,17,5,3.4
打法,17,5,3.4
指向,20,5,4
清醒,14,5,2.8
总归,19,5,3.8
老生常谈,13,5,2.6
存活,18,5,3.6
非典型,20,5,4
越做越,17,5,3.4
音响,13,5,2.6
成渣,17,5,3.4
高下,14,5,2.8
商業片,15,5,3
太坑,14,5,2.8
瑕不掩瑜,21,5,4.2
威史,18,5,3.6
功不可没,15,5,3
卷毛,19,5,3.8
动容,19,5,3.8
梳理,16,5,3.2
糅合,13,5,2.6
感人至深,15,5,3
糟心,16,5,3.2
恶人,18,5,3.6
开得,16,5,3.2
没说的,16,5,3.2
妙趣横生,17,5,3.4
睡到,12,5,2.4
挺弱,18,5,3.6
有生之年,18,5,3.6
利落,15,5,3
坠毁,14,5,2.8
开局,15,5,3
一拼,21,5,4.2
列车,14,5,2.8
感情生活,18,5,3.6
放映机,15,5,3
无可救药,14,5,2.8
精病,16,5,3.2
傻傻,9,5,1.8
偏低,17,5,3.4
辣妹,16,5,3.2
入场,17,5,3.4
了会,13,5,2.6
模子,11,5,2.2
双臂,16,5,3.2
罪犯,18,5,3.6
判断,21,5,4.2
感比,18,5,3.6
秉承,17,5,3.4
联来,15,5,3
出发点,18,5,3.6
打翻,17,5,3.4
众叛亲离,16,5,3.2
皇后区,21,5,4.2
伤亡,19,5,3.8
盲目,19,5,3.8
联好,17,5,3.4
行尸走肉,20,5,4
幻觉,13,5,2.6
老铁,16,5,3.2
威大,18,5,3.6
最小,18,5,3.6
抱住,22,5,4.4
调和,17,5,3.4
固执,17,5,3.4
配不上,12,5,2.4
犯罪,16,5,3.2
时隔,20,5,4
海贼王,17,5,3.4
远远不如,14,5,2.8
革新,17,5,3.4
眼界,16,5,3.2
反击战,16,5,3.2
君主,16,5,3.2
闺女,17,5,3.4
根基,14,5,2.8
真牛,20,5,4
两件事,13,5,2.6
离婚,15,5,3
注册,11,5,2.2
牵扯,14,5,2.8
追下去,17,5,3.4
聚合,17,5,3.4
不遗余力,16,5,3.2
摇摆,12,5,2.4
字面,19,5,3.8
构筑,13,5,2.6
蘑菇,13,5,2.6
圆滑,14,5,2.8
噪音,12,5,2.4
窝里斗,14,5,2.8
撑不住,12,5,2.4
黑暗面,16,5,3.2
不讲理,10,5,2
无节制,14,5,2.8
枯燥,12,5,2.4
百度,15,5,3
靠谱,19,5,3.8
权当,16,5,3.2
诙谐,17,5,3.4
参差不齐,15,5,3
爆有,21,5,4.2
影射,15,5,3
处于,18,5,3.6
根本无法,16,5,3.2
演完,17,5,3.4
吹捧,13,5,2.6
不远万里,11,5,2.2
无字幕,16,5,3.2
术语,14,5,2.8
攻略,14,5,2.8
起身,13,5,2.6
吃饱,16,5,3.2
了去,15,5,3
师徒,20,5,4
歌词,21,5,4.2
单部,16,5,3.2
渐入佳境,19,5,3.8
绝育,17,5,3.4
女医生,14,5,2.8
走起,19,5,3.8
育儿,21,5,4.2
如潮,16,5,3.2
难题,18,5,3.6
睁眼,13,5,2.6
工作日,15,5,3
字体,15,5,3
混沌,15,5,3
神龙,18,5,3.6
紫色,13,5,2.6
就值,15,5,3
完漫,18,5,3.6
弥漫着,12,5,2.4
灰色,16,5,3.2
梦游,12,5,2.4
打卡,13,5,2.6
程序化,13,5,2.6
神性,18,5,3.6
想去,16,5,3.2
投身,19,5,3.8
背负,13,5,2.6
落日,19,5,3.8
猜测,16,5,3.2
不惜牺牲,17,5,3.4
安安静静,18,5,3.6
史无前例,18,5,3.6
熬出头,18,5,3.6
真情,18,5,3.6
朋友圈,17,5,3.4
交错,16,5,3.2
时光倒流,17,5,3.4
没上,15,5,3
笔墨,14,5,2.8
勾连,17,5,3.4
又哭又笑,20,5,4
交集,16,5,3.2
五彩斑斓,12,5,2.4
熔炉,17,5,3.4
联更,18,5,3.6
鸭子,21,5,4.2
凯文,15,5,3
新星,16,5,3.2
电玩,22,5,4.4
犯傻,17,5,3.4
后现代,16,5,3.2
合情合理,19,5,3.8
最燃,19,5,3.8
驾轻就熟,15,5,3
流行歌曲,17,5,3.4
八字,14,5,2.8
惊吓,15,5,3
碎嘴子,16,5,3.2
比队,15,5,3
天分,14,5,2.8
死宅,15,5,3
谜题,16,5,3.2
宇航服,18,5,3.6
互怼,22,5,4.4
前情,14,5,2.8
关系不大,17,5,3.4
威版,22,5,4.4
原力,18,5,3.6
译名,19,5,3.8
追寻,16,5,3.2
原声带,18,5,3.6
